order_uid	previous_order_status	transition_name	order_status	user_role	date_time	new_previous_order_status	new_transition_name	new_order_status	new_user_role	new_date_time	comment
fa71149c-347e-47b2-9d29-8a580af99e26	delivered	accept	accepted	customer	2016-10-31 15:36:00	refused	accept	accepted	customer	2016-12-13 02:20:00	wrong transition at the wrong date
237d0c23-377e-45d9-a1ad-bfc1e48002cc	delivered	accept	accepted	customer	2016-10-27 13:29:00	refused	accept	accepted	customer	2016-12-13 02:24:00	wrong transition at the wrong date
53148261-b348-471e-82b3-76bf9a521864	delivered	accept	accepted	customer	2016-10-31 13:28:00	refused	accept	accepted	customer	2016-12-15 13:18:00	wrong transition at the wrong date
4f76a538-eb6e-4685-9418-37af4310ceb2	delivered	accept	accepted	customer	2016-10-25 11:37:00	refused	accept	accepted	customer	2016-12-13 02:29:00	wrong transition at the wrong date
f89f491a-d79b-44f7-a3e4-ac81bf697f39	delivered	accept	accepted	customer	2016-10-14 13:43:00	refused	accept	accepted	customer	2016-12-13 02:52:00	wrong transition at the wrong date
0a44e470-c2ce-44fc-a4f7-7d2559dfcf1c	delivered	accept	accepted	customer	2016-10-26 14:41:00	refused	accept	accepted	customer	2016-12-13 02:37:00	wrong transition at the wrong date
42913433-4610-4bea-ab1c-62457f789f23	delivered	accept	accepted	customer	2016-10-31 10:37:00	refused	accept	accepted	customer	2016-12-13 02:41:00	wrong transition at the wrong date
2b17463d-c0ae-4d2c-a997-fea6dbdc0079	delivered	accept	accepted	customer	2016-10-31 18:15:00	refused	accept	accepted	customer	2016-12-13 02:05:00	wrong transition at the wrong date
400f5f00-3054-4e9a-8f41-72bd62fcc0f4	delivered	accept	accepted	customer	2016-10-13 13:08:00	refused	accept	accepted	customer	2016-12-13 02:30:00	wrong transition at the wrong date
