order_uid	previous_order_status	transition_name	new_order_status	user_role	date_time	comment
9522a291-e6a2-45b0-9110-3898b65d763d	in_qa	deliver	delivered	qa	2017-01-20 16:10:00	deliver_add._transition
95708c22-146f-4daa-9ddc-f619d704684d	in_qa	deliver	delivered	qa	2016-12-30 13:45:00	first delivery
95708c22-146f-4daa-9ddc-f619d704684d	delivered	refuse	refused	customer	2017-01-05 07:43:00	refusal
95708c22-146f-4daa-9ddc-f619d704684d	refused	require_revision	in_qa	pm		send_back_to_qa
95708c22-146f-4daa-9ddc-f619d704684d	in_qa	deliver	delivered	qa	2017-02-07 13:24:00	deliver_add._transition
9e6a0189-2265-4c6c-9e4e-e758153be94d	in_qa	deliver	delivered	qa	2017-01-09 14:22:00	first delivery
9e6a0189-2265-4c6c-9e4e-e758153be94d	delivered	refuse	refused	customer	2017-01-27 04:39:00	refusal
9e6a0189-2265-4c6c-9e4e-e758153be94d	refused	require_revision	in_qa	pm		send_back_to_qa
9e6a0189-2265-4c6c-9e4e-e758153be94d	in_qa	deliver	delivered	qa	2017-02-08 16:02:00	deliver_add._transition
9fda8587-4c47-4174-b443-8746fadde42c	in_qa	deliver	delivered	qa	2016-12-09 13:27:00	first delivery
9fda8587-4c47-4174-b443-8746fadde42c	delivered	refuse	refused	customer	2016-12-22 09:20:00	refusal
9fda8587-4c47-4174-b443-8746fadde42c	refused	require_revision	in_qa	pm		send_back_to_qa
9fda8587-4c47-4174-b443-8746fadde42c	in_qa	deliver	delivered	qa	2017-01-24 18:55:00	deliver_add._transition
a0954913-b8ba-48cd-9c2d-1ca990769e63	in_qa	deliver	delivered	qa	2017-01-03 16:18:00	first delivery
a0954913-b8ba-48cd-9c2d-1ca990769e63	delivered	refuse	refused	customer	2017-01-25 08:20:00	refusal
a0954913-b8ba-48cd-9c2d-1ca990769e63	refused	require_revision	in_qa	pm		send_back_to_qa
a2b0a02d-199a-47e9-82a9-e624b911a1f5	in_qa	deliver	delivered	qa	2016-11-10 15:31:00	first delivery
a2b0a02d-199a-47e9-82a9-e624b911a1f5	delivered	refuse	refused	customer	2016-11-29 12:16:00	refusal
a2b0a02d-199a-47e9-82a9-e624b911a1f5	refused	require_revision	in_qa	pm	2017-01-10 17:25:04	send_back_to_qa
