order_uid	previous_order_status	transition_name	new_order_status	user_role	date_time	comment
3ccb7c82-eaa8-4698-aca3-d822e71b6de3	in_qa	deliver	delivered	qa	2016-11-07 17:52:00	first delivery
3ccb7c82-eaa8-4698-aca3-d822e71b6de3	delivered	refuse	refused	customer	2016-12-01 03:41:00	refusal
3ccb7c82-eaa8-4698-aca3-d822e71b6de3	refused	require_revision	in_qa	pm	2017-01-04 16:51:00	send_back_to_qa
3ccb7c82-eaa8-4698-aca3-d822e71b6de3	in_qa	deliver	delivered	qa	2017-01-04 17:00:00	deliver_add._transition
400f5f00-3054-4e9a-8f41-72bd62fcc0f4	in_qa	deliver	delivered	qa	2016-10-13 13:08:00	first delivery
400f5f00-3054-4e9a-8f41-72bd62fcc0f4	delivered	refuse	refused	customer	2016-10-18 00:00:00	refusal
413c4633-97db-43d1-97bb-2d166f32b288	in_qa	deliver	delivered	qa	2017-01-09 10:03:00	first delivery
413c4633-97db-43d1-97bb-2d166f32b288	delivered	refuse	refused	customer	2017-01-27 03:40:00	refusal
413c4633-97db-43d1-97bb-2d166f32b288	refused	require_revision	in_qa	pm		send_back_to_qa
413c4633-97db-43d1-97bb-2d166f32b288	in_qa	deliver	delivered	qa	2017-02-09 11:56:00	deliver_add._transition
41a16d31-6261-4cc1-a9ce-e0855554e27c	in_qa	deliver	delivered	qa	2017-01-16 15:34:00	first delivery
41a16d31-6261-4cc1-a9ce-e0855554e27c	delivered	refuse	refused	customer	2017-02-02 11:24:00	refusal
41a16d31-6261-4cc1-a9ce-e0855554e27c	refused	require_revision	in_qa	pm		send_back_to_qa
41a16d31-6261-4cc1-a9ce-e0855554e27c	in_qa	deliver	delivered	qa	2017-02-09 13:09:00	deliver_add._transition
41aaa724-a178-4f34-8378-2a64874f994b	in_qa	deliver	delivered	qa	2016-12-21 11:53:00	first delivery
41aaa724-a178-4f34-8378-2a64874f994b	delivered	refuse	refused	customer	2017-01-11 07:48:00	refusal
41aaa724-a178-4f34-8378-2a64874f994b	refused	require_revision	in_qa	pm		send_back_to_qa
41aaa724-a178-4f34-8378-2a64874f994b	in_qa	deliver	delivered	qa	2017-02-12 07:49:00	deliver_add._transition
42913433-4610-4bea-ab1c-62457f789f23	in_qa	deliver	delivered	qa	2016-10-31 10:37:00	first delivery
42913433-4610-4bea-ab1c-62457f789f23	delivered	refuse	refused	customer	2016-11-02 00:00:00	refusal
44037506-2e1f-4442-ab35-2903427548b4	in_qa	deliver	delivered	qa	2016-11-03 17:01:00	first delivery
44037506-2e1f-4442-ab35-2903427548b4	delivered	refuse	refused	customer	2016-12-01 05:21:00	refusal
44037506-2e1f-4442-ab35-2903427548b4	refused	require_revision	in_qa	pm		send_back_to_qa
44037506-2e1f-4442-ab35-2903427548b4	in_qa	deliver	delivered	qa	2017-01-10 14:01:00	deliver_add._transition
443c0b05-6ee8-4b3e-b3b5-b5b1a0bf9b49	in_qa	deliver	delivered	qa	2017-01-04 10:30:00	first delivery
443c0b05-6ee8-4b3e-b3b5-b5b1a0bf9b49	delivered	refuse	refused	customer	2017-01-25 11:42:00	refusal
443c0b05-6ee8-4b3e-b3b5-b5b1a0bf9b49	refused	require_revision	in_qa	pm		send_back_to_qa
443c0b05-6ee8-4b3e-b3b5-b5b1a0bf9b49	in_qa	deliver	delivered	qa	2017-02-12 07:47:00	deliver_add._transition
450f917a-0d82-4ae1-93e3-e69cb10ebb8c	in_qa	deliver	delivered	qa	2017-01-03 18:39:00	first delivery
450f917a-0d82-4ae1-93e3-e69cb10ebb8c	delivered	refuse	refused	customer	2017-01-27 00:00:00	refusal
450f917a-0d82-4ae1-93e3-e69cb10ebb8c	refused	require_revision	in_qa	pm		send_back_to_qa
46b5b293-b536-4e68-9859-c92a5788dfca	in_qa	deliver	delivered	qa	2016-11-10 16:20:00	first delivery
46b5b293-b536-4e68-9859-c92a5788dfca	delivered	refuse	refused	customer	2016-12-08 10:16:00	refusal
46b5b293-b536-4e68-9859-c92a5788dfca	refused	require_revision	in_qa	pm		send_back_to_qa
46b5b293-b536-4e68-9859-c92a5788dfca	in_qa	deliver	delivered	qa	2017-01-04 16:32:00	deliver_add._transition
4d7bdda9-e9ac-44e5-8ce9-3ab619f34441	in_qa	deliver	delivered	qa	2016-12-07 13:56:00	first delivery
4d7bdda9-e9ac-44e5-8ce9-3ab619f34441	delivered	refuse	refused	customer	2016-12-21 10:43:00	refusal
4d7bdda9-e9ac-44e5-8ce9-3ab619f34441	refused	require_revision	in_qa	pm		send_back_to_qa
4d7bdda9-e9ac-44e5-8ce9-3ab619f34441	in_qa	deliver	delivered	qa	2017-01-10 18:46:00	deliver_add._transition
4ee88634-64bc-4945-ae18-6db3171b4ba2	in_qa	deliver	delivered	qa	2017-01-02 17:05:00	first delivery
4ee88634-64bc-4945-ae18-6db3171b4ba2	delivered	refuse	refused	customer	2017-01-24 12:11:00	refusal
4ee88634-64bc-4945-ae18-6db3171b4ba2	refused	require_revision	in_qa	pm		send_back_to_qa
4ee88634-64bc-4945-ae18-6db3171b4ba2	in_qa	deliver	delivered	qa	2017-02-06 13:35:00	deliver_add._transition
4f76a538-eb6e-4685-9418-37af4310ceb2	in_qa	deliver	delivered	qa	2016-10-25 11:37:00	first delivery
4f76a538-eb6e-4685-9418-37af4310ceb2	delivered	refuse	refused	customer	2016-11-25 05:11:00	refusal
4f7cc816-cf31-4685-b73a-a78106c34d81	in_qa	deliver	delivered	qa	2016-12-28 11:07:00	first delivery
4f7cc816-cf31-4685-b73a-a78106c34d81	delivered	refuse	refused	customer	2017-01-19 03:53:00	refusal
4f7cc816-cf31-4685-b73a-a78106c34d81	refused	require_revision	in_qa	pm		send_back_to_qa
4f7cc816-cf31-4685-b73a-a78106c34d81	in_qa	deliver	delivered	qa	2017-02-08 17:01:00	deliver_add._transition
51067968-3dc0-4fef-a055-ed5a95f76e6f	in_qa	deliver	delivered	qa	2016-11-30 16:48:00	first delivery
51067968-3dc0-4fef-a055-ed5a95f76e6f	delivered	refuse	refused	customer	2016-12-21 03:58:00	refusal
51067968-3dc0-4fef-a055-ed5a95f76e6f	refused	require_revision	in_qa	pm		send_back_to_qa
53148261-b348-471e-82b3-76bf9a521864	in_qa	deliver	delivered	qa	2016-10-31 13:28:00	first delivery
53148261-b348-471e-82b3-76bf9a521864	delivered	refuse	refused	customer	2016-11-25 00:00:00	refusal
53e0a8bb-ba7b-4c0e-8ef8-dfb34066e9ce	in_qa	deliver	delivered	qa	2017-01-04 11:38:00	first delivery
53e0a8bb-ba7b-4c0e-8ef8-dfb34066e9ce	delivered	refuse	refused	customer	2017-01-25 12:26:00	refusal
53e0a8bb-ba7b-4c0e-8ef8-dfb34066e9ce	refused	require_revision	in_qa	pm		send_back_to_qa
53e0a8bb-ba7b-4c0e-8ef8-dfb34066e9ce	in_qa	deliver	delivered	qa	2017-02-08 16:12:00	deliver_add._transition
5abe3bce-ad41-46ab-ae8b-4ab58c3302a7	in_qa	deliver	delivered	qa	2016-10-27 10:52:00	first delivery
