project	customer_id	delivery	folder_name	images
Agoda Bali	1147138	https://drive.google.com/drive/folders/0BwrdIL719n7wdzU3NmtRdzRhS3c	1147138	51
Agoda Bali	1154050	https://drive.google.com/drive/folders/0BzVECRdNByQAN2J6Z1JYQ3licUE	1154050	46
Agoda Bali	1154941	https://drive.google.com/drive/folders/0B2QYuPa8WdDsblY3eDF0T1FoZVk	1154941 - BALI BEDROCK HOTEL KUTA	51
Agoda Bali	1155599	https://drive.google.com/drive/folders/0BzVECRdNByQAOG54RldkMkYtQ1k	1155599	41
Agoda Bali	1156104	https://drive.google.com/drive/folders/0BzVECRdNByQAbDZGZGtLYzgzYWc	1156104	26
Agoda Bali	1158781	https://drive.google.com/drive/folders/0B6sHgFwBTW0qTEprcG1pQkRDZEk	1158781	57
Agoda Bali	1158942	https://drive.google.com/drive/folders/0B2QYuPa8WdDsWXl2MElucDJzQ2s	1158942	56
Agoda Bali	1159651	https://drive.google.com/drive/folders/0BzVECRdNByQAc2NKcGJIQUtPQ2s	1159651	61
Agoda Bali	1159731	https://drive.google.com/drive/folders/0B1H-4CqQJz7aMFBwR0dIbkVFZ1E	1159731	70
Agoda Bali	1159862	https://drive.google.com/drive/folders/0BzVECRdNByQAa3lmZFhjRnFXNUU	1159862	62
Agoda Bali	1159863	https://drive.google.com/drive/folders/0BwrdIL719n7wYzBjbjdlandmU2s	1159863	54
Agoda Bali	1160554	https://drive.google.com/drive/folders/0B6I0mAjGkrndSURjM0RvZU5pMU0	originals	46
Agoda Bali	1160890	https://drive.google.com/drive/folders/0B7ZWolnJxQIwUFdobUNFVzg5N1E	1160890	41
Agoda Bali	1161052	https://drive.google.com/drive/folders/0B2QYuPa8WdDsUVpCOWpFQkd5Sms	1161052	31
Agoda Bali	1161064	https://drive.google.com/drive/folders/0B6I0mAjGkrndLVB2azdKOXd2bDA	originals	36
Agoda Bali	1161316	https://drive.google.com/drive/folders/0B6bhERF4B_DpVWJKbmZrSk4tVEU	1161316	47
Agoda Bali	1162645	https://drive.google.com/drive/folders/0B2QYuPa8WdDsZGRRRXF4V2lIY00	1162645	34
Agoda Bali	1162855	https://drive.google.com/drive/folders/0BzVECRdNByQATkdVeGVqTDBlck0	1162855	49
Agoda Bali	1163660	https://drive.google.com/drive/folders/0BwrdIL719n7wTzVOemllc0hGSFE	1163660	31
Agoda Bali	1165521	https://drive.google.com/drive/folders/0B2QYuPa8WdDsS1c3OUFvSkMzZmM	1165521	76
Agoda Bali	1166207	https://drive.google.com/drive/folders/0BzVECRdNByQAeGNvekNRTVNWeG8	1166207	46
Agoda Bali	1166228	https://drive.google.com/drive/folders/0B1H-4CqQJz7aOWxvMkhMM3FBZGc	1166228	71
Agoda Bali	1177785	https://drive.google.com/drive/folders/0B6I0mAjGkrndMHphWkV4eTltWVE	originals	43
Agoda Bali	1187687	https://drive.google.com/drive/folders/0B6I0mAjGkrndTy1ET3lNeDFFOVU	original	70
Agoda Bali	1193361	https://drive.google.com/drive/folders/0BwrdIL719n7wQ0paZkYtZVJuMnM	1193361	45
Agoda Bali	1193518	https://drive.google.com/drive/folders/0BwrdIL719n7welduVE50UlNCeEU	1193518	71
Agoda Bali	1193855	https://drive.google.com/drive/folders/0B1H-4CqQJz7aR1E0Q2NjVTlLX1E	Originals	66
Agoda Bali	1193962	https://drive.google.com/drive/folders/0B1H-4CqQJz7aTUZqX1JUbFF5Q00	1193962	60
Agoda Bali	1194012	https://drive.google.com/drive/folders/0B2QYuPa8WdDsdjNBTWxWV0hsM1U	1194012	31
Agoda Bali	1194227	https://drive.google.com/drive/folders/0BzVECRdNByQAMGJseUtleENXX1E	1194227	36
Agoda Bali	1194363	https://drive.google.com/drive/folders/0BzVECRdNByQARldDY0V6ck1BSTQ	1194363	31
Agoda Bali	1194375	https://drive.google.com/drive/folders/0BwrdIL719n7wZkhmLVlaVUV6TEU	1194375	26
Agoda Bali	1195436	https://drive.google.com/drive/folders/0B2QYuPa8WdDsRWRrQ3lhMEtxSkE	1195436	45
Agoda Bali	1195948	https://drive.google.com/drive/folders/0B1H-4CqQJz7aUGhEWmN0N1NPRHc	1195948	65
Agoda Bali	1196220	https://drive.google.com/drive/folders/0BzVECRdNByQAM28wXzNPcmpiOWc	1196220	38
Agoda Bali	1206533	https://drive.google.com/drive/folders/0BwrdIL719n7wdjZvZ0FjV2Y4QWc	1206533	35
Agoda Bali	1220459	https://drive.google.com/drive/folders/0B6I0mAjGkrndRmtoRDF3VTAtS1U	originals	46
Agoda Bali	1220492	https://drive.google.com/drive/folders/0B6bhERF4B_DpTzJWZFVDeW95YjA	1220492	47
Agoda Bali	1235450	https://drive.google.com/drive/folders/0B1H-4CqQJz7aTFF2WDdsZS14a0k	1235450	0
Agoda Bali	1235621	https://drive.google.com/drive/folders/0BzVECRdNByQAeXBLSjk1dGxVYWM	1235621	38
Agoda Bali	1251	https://drive.google.com/drive/folders/0BwrdIL719n7wUmM5dHJuckExVUU	1251	84
Agoda Bali	1255299	https://drive.google.com/drive/folders/0BwrdIL719n7wSVFTSjhZNHM0azQ	1255299	40
Agoda Bali	1258271	https://drive.google.com/drive/folders/0B2QYuPa8WdDsN0JKYm40N05nczQ	1258271	44
Agoda Bali	1258375	https://drive.google.com/drive/folders/0B2QYuPa8WdDsVUlPajVXREdyelk	1258375	31
Agoda Bali	1258787	https://drive.google.com/drive/folders/0B2QYuPa8WdDscV9iRG1uRC13ZFE	1258787	41
Agoda Bali	1265285	https://drive.google.com/drive/folders/0B6I0mAjGkrndR3J1WXNCd0Rvb3c	originals	80
Agoda Bali	1273785	https://drive.google.com/drive/folders/0B6I0mAjGkrndSGR0WDRMeEtOM0U	originals	60
Agoda Bali	1315492	https://drive.google.com/drive/folders/0B6I0mAjGkrndMUNWWVhGOHZZUWs	original	26
Agoda Bali	1418	https://drive.google.com/drive/folders/0BwrdIL719n7wQ3ZlRVNDRzNJS28	1418	75
Agoda Bali	147900	https://drive.google.com/drive/folders/0B1H-4CqQJz7adS13RkdScmRvc0k	147900	0
Agoda Bali	148956	https://drive.google.com/drive/folders/0B2QYuPa8WdDscTktUDd3cU5Kb1k	148956	56
Agoda Bali	1588	https://drive.google.com/drive/folders/0B2QYuPa8WdDseFRzRkJJTEg1cEE	1588	68
Agoda Bali	161508	https://drive.google.com/drive/folders/0B2QYuPa8WdDscHBvcTB3M3hJQU0	161508	71
Agoda Bali	161608	https://drive.google.com/drive/folders/0BzVECRdNByQAQXFYckpiRFowWjg	161608	56
