hotel_id	hotel_name	country_name	hotel_address	postal_code	city_name	area_name	hotel_latitude	hotel_longitude	import
766808	Nu Phuket Airport Residence	Thailand	69/3-4 Moo 6, Mai Khao, Thalang  	83140	Phuket	Phuket Airport	8,10873118	98,30994118	18/11/16
767874	Oxygen Bangtao F2 Villa	Thailand	271/26 T. Cherngtalay  	83110	Phuket	Bang Thao	7,985457683	98,29493523	18/11/16
770184	Svea & Haris Loch Palm Villa	Thailand	29/50 Baan Suan Loch Palm, Kathu-Nakoh road,  	83120	Phuket	Kathu	7,933160703	98,33358121	18/11/16
772335	Naiyang Cottage	Thailand	93/2 Moo 5 Tambon Saku  	83110	Phuket	Phuket Airport	8,089035484	98,3054515	18/11/16
773170	Ascot Boutique Hotel	Thailand	98/75 Kata Road Kata Beach Phuket  	83100	Phuket	Kata	7,823216827	98,30026746	18/11/16
773198	Thai Elephant Guesthouse	Thailand	290 Moo 3 Patak Rd.  	83130	Phuket	Karon	7,833989159	98,29868227	18/11/16
773382	Hotel De Karon	Thailand	526/27-33 Patak Rd.  	83100	Phuket	Karon	7,849819075	98,29534292	18/11/16
773416	Chalong Boutique Inn	Thailand	75/148 Patak Road, Muang  	83130	Phuket	Chalong	7,822839331	98,33841815	18/11/16
773804	Rayaan Guest House Phuket	Thailand	141/8-9 Rat-U-Thid 200 Pee Rd  	83150	Phuket	Patong	7,894764433	98,29932332	18/11/16
773948	Tuscany Kata Guesthouse	Thailand	211 Khok Tanod Road  	83100	Phuket	Kata	7,814724185	98,29982758	18/11/16
774023	Karon Sea Side Hotel	Thailand	485 Patak Rd. T.Karon Phuket Thailand  	83100	Phuket	Karon	7,846180106	98,29881102	18/11/16
774162	The Seashore Kamala Service Apartment	Thailand	77/1 Moo3, Rimhad Road  	83150	Phuket	Kamala	7,950325265	98,28366861	18/11/16
774181	The Ocean Hotel Patong	Thailand	22 Thaweewong Road  	83150	Phuket	Patong	7,885699908	98,28869104	18/11/16
779214	The Rommanee Classic Guesthouse	Thailand	4 Krabi Road Muang  	83000	Phuket	Phuket Town	7,8849985	98,38741779	18/11/16
779216	Bonus Bungalow	Thailand	9/2 M.5 , Soi.ta-iad , Chao Fa West Rd,T.Chalong,  	83000	Phuket	Chalong	7,854815586	98,34300578	18/11/16
779219	Paripas Express Hotel Patong	Thailand	15 Nanai Road  	83150	Phuket	Patong	7,89485322	98,3052671	18/11/16
779222	Karon Beach Walk Villa	Thailand	2/10 Prima Villa, Soi patak 14  	83100	Phuket	Karon	7,835004199	98,29947352	18/11/16
780424	The White House Resort	Thailand	loh jark beach road ,Prunai Sub-district, Koh Yao District, Phang-nga Province  	82160	Phuket	Koh Yao Yai	7,933545508	98,57462341	18/11/16
781443	The ARK Karon Beach Apartment	Thailand	346 Patak Road  	83000	Phuket	Karon	7,835833235	98,30046058	18/11/16
781445	Pine House	Thailand	28/74 Moo 1 Rawai, Muang  	83130	Phuket	Naiharn	7,7880584	98,31700337	18/11/16
781447	The Elegant Patong Hotel	Thailand	27/42-43 Ratchapathanuson Road, Patong Beach, Kathu  	83150	Phuket	Patong	7,898962667	98,30198407	18/11/16
781717	Family Home Guesthouse	Thailand	78/3 Nanai Rd. Patong Kathu  	83150	Phuket	Patong	7,889501379	98,30379196	18/11/16
781807	Rawai Princess Hotel	Thailand	95/34 Moo 4, Viset Road  	83130	Phuket	Rawai	7,805994202	98,33668046	18/11/16
781830	AOI Phuket Boutique Dive Inn	Thailand	77/4-77/25 Moo 6 Luang Pho Chaem Road  	83001	Phuket	Chalong	7,848629943	98,33469629	18/11/16
782156	Khaleej Mass Hotel	Thailand	201/1 Phabraramee Rd.  	83150	Phuket	Patong	7,905923901	98,29786688	18/11/16
782582	X10 Seaview Suites at Panwa Beach	Thailand	3/30 Moo#8 Tumbon Vichit Muang  	83000	Phuket	Panwa Cape	7,814038	98,386798	18/11/16
782725	Kamala Beach Inn Hotel Phuket	Thailand	73/115 Naka Road, Kathu  	83120	Phuket	Kamala	7,948168239	98,27808827	18/11/16
782930	At The Tree Condominium Phuket	Thailand	88/85 Moo 2, Rawai-Naihan Rd., T.Rawai, Muang, Phuket 83130  	83130	Phuket	Rawai	7,774363178	98,3189249	18/11/16
782940	The Windmill Phuket Hotel	Thailand	64/27 Yanui Beach, Moo6, Rawai, Muang  	83130	Phuket	Naiharn	7,767820225	98,30880761	18/11/16
785556	Karon View Resort Phuket	Thailand	6, 8, 10, 12 Luang Pho Chuan Soi 1, Patak Road  	83100	Phuket	Karon	7,833337619	98,29680204	18/11/16
785557	Phuket Town Inn Hotel Phuket	Thailand	9/1 Thepkrasattri Road, Amphur Muang, Phuket (Phuket Old Town area)  	83000	Phuket	Phuket Town	7,885535183	98,39050099	18/11/16
788187	Phunara Residence	Thailand	83/6-7 Sai Kor rd., T. Patong A. Khathu  	83150	Phuket	Patong	7,885885887	98,29812706	18/11/16
788343	Nasa Mansion	Thailand	97/483 Moo 4, Tambon Vichit  	83000	Phuket	Phuket Town	7,878944	98,371021	18/11/16
789299	Putter House	Thailand	29/20 m.5  	83130	Phuket	Rawai	7,807525288	98,33746199	18/11/16
789301	BB Patong Beach House	Thailand	212/15-16 soi kebsup Rat-u-thid 200 pee Rd.  	83150	Phuket	Patong	7,888785734	98,29456937	18/11/16
789325	Patong Hill Estate 5	Thailand	25/2 Sirirai Rd.  	83150	Phuket	Patong	7,87401	98,290386	18/11/16
798632	Phuthara Hostel	Thailand	183/21 Phangnga Rd. Taladyai, Muang  	83000	Phuket	Phuket Town	7,883333183	98,39511037	18/11/16
801822	Eden Hostel	Thailand	42/4 Vanish Plaza Bldg., Luangpho Rd., Muang  	83000	Phuket	Phuket Town	7,884805878	98,39543223	18/11/16
802920	Esmeralda View Resort	Thailand	63/7 moo4, Koh Yao Yai Sub-district, Koh Yao District, Phang-nga Province  	82160	Phuket	Koh Yao Yai	8,0480645	98,60612679	18/11/16
804937	Jasmine Villa	Thailand	18/8-18/12 Moo 3 Soi Palai 2 Chaofa (East) Road  	83130	Phuket	Chalong	7,840582093	98,36001849	18/11/16
805022	Gotum Hostel and Restaurant 2	Thailand	68 Thalang Road Tambon Talad Yai Amphur Muang  	83000	Phuket	Phuket Town	7,88471156	98,38909417	18/11/16
807000	Kamala Chic Apartment	Thailand	11 Moo 5, The Regent  	83150	Phuket	Kamala	7,948481	98,284943	18/11/16
807012	Bang Tao Bali Villa	Thailand	3/12 Villa No.1, Thai-Bali, Srisoonthorn Rd  	83000	Phuket	Bang Thao	7,993137	98,295222	18/11/16
